(me/pa)d : [[0], [0]]
(me/po)d : [[0], [0]]
(me/ri)d : [[0], [0]]
(me/ro)d : [[0], [0]]
(me/sa)d : [[0], [0]]
(me/vi)d : [[0], [0]]
(mi/od)d : [[0], [0]]
(mi/ol)d : [[0], [0]]
(mi/pa)d : [[0], [0]]
(mi/po)d : [[0], [0]]
(mi/re)d : [[0], [0]]
(mi/ro)d : [[0], [0]]
(mi/sa)d : [[0], [0]]
(mi/te)d : [[0], [0]]
(mi/we)d : [[0], [0]]
(mo/od)d : [[0], [0]]
(mo/ol)d : [[0], [0]]
(mo/pa)d : [[0], [0]]
(mo/re)d : [[0], [0]]
(mo/ri)d : [[0], [0]]
(mo/sa)d : [[0], [0]]
(mo/te)d : [[0], [0]]
(mo/vi)d : [[0], [0]]
(mo/we)d : [[0], [0]]
(mu/od)d : [[0], [0]]
(mu/ol)d : [[0], [0]]
(mu/pa)d : [[0], [0]]
(mu/po)d : [[0], [0]]
(mu/re)d : [[0], [0]]
(mu/ri)d : [[0], [0]]
(mu/ro)d : [[0], [0]]
(mu/sa)d : [[0], [0]]
(mu/te)d : [[0], [0]]
(mu/vi)d : [[0], [0]]
(mu/we)d : [[0], [0]]
(od/pa)d : [[0], [0]]
(od/po)d : [[0], [0]]
(od/re)d : [[0], [0]]
(od/ri)d : [[0], [0]]
(od/ro)d : [[0], [0]]
(od/sa)d : [[0], [0]]
(od/te)d : [[0], [0]]
(od/vi)d : [[0], [0]]
(od/we)d : [[0], [0]]
(ol/pa)d : [[0], [0]]
(ol/po)d : [[0], [0]]
(ol/re)d : [[0], [0]]
(ol/ri)d : [[0], [0]]
(ol/ro)d : [[0], [0]]
(ol/sa)d : [[0], [0]]
(ol/te)d : [[0], [0]]
(ol/vi)d : [[0], [0]]
(ol/we)d : [[0], [0]]
(pa/re)d : [[0], [0]]
(pa/ri)d : [[0], [0]]
(pa/ro)d : [[0], [0]]
(pa/te)d : [[0], [0]]
(pa/vi)d : [[0], [0]]
(pa/we)d : [[0], [0]]
(po/re)d : [[0], [0]]
(po/ri)d : [[0], [0]]
(po/sa)d : [[0], [0]]
(po/te)d : [[0], [0]]
(po/vi)d : [[0], [0]]
(po/we)d : [[0], [0]]
(re/sa)d : [[0], [0]]
(re/vi)d : [[0], [0]]
(ri/sa)d : [[0], [0]]
(ri/te)d : [[0], [0]]
(ri/we)d : [[0], [0]]
(ro/sa)d : [[0], [0]]
(ro/te)d : [[0], [0]]
(ro/vi)d : [[0], [0]]
(ro/we)d : [[0], [0]]
(sa/te)d : [[0], [0]]
(sa/vi)d : [[0], [0]]
(sa/we)d : [[0], [0]]
(te/vi)d : [[0], [0]]
(vi/we)d : [[0], [0]]
(ac/be)e : [[0], [0]]
(ac/by)e : [[0], [0]]
(ac/de)e : [[0], [0]]
(ac/di)e : [[0], [0]]
(ac/do)e : [[0], [0]]
(ac/du)e : [[0], [0]]
(ac/ev)e : [[0], [0]]
(ac/ey)e : [[0], [0]]
(ac/fe)e : [[0], [0]]
(ac/jo)e : [[0], [0]]
(ac/le)e : [[0], [0]]
(ac/li)e : [[0], [0]]
(ac/ma)e : [[0], [0]]
(ac/on)e : [[0], [0]]
(ac/pe)e : [[0], [0]]
(ac/pi)e : [[0], [0]]
(ac/se)e : [[0], [0]]
(ac/sh)e : [[0], [0]]
(ac/su)e : [[0], [0]]
(ac/te)e : [[0], [0]]
(ac/th)e : [[0], [0]]
(ac/ti)e : [[0], [0]]
(ac/to)e : [[0], [0]]
(ac/us)e : [[0], [0]]
(ag/be)e : [[0], [0]]
(ag/by)e : [[0], [0]]
(ag/de)e : [[0], [0]]
(ag/di)e : [[0], [0]]
(ag/do)e : [[0], [0]]
(ag/du)e : [[0], [0]]
(ag/ev)e : [[0], [0]]
(ag/ey)e : [[0], [0]]
(ag/fe)e : [[0], [0]]
(ag/ic)e : [[0], [0]]
(ag/jo)e : [[0], [0]]
(ag/le)e : [[0], [0]]
(ag/li)e : [[0], [0]]
(ag/ma)e : [[0], [0]]
(ag/on)e : [[0], [0]]
(ag/pe)e : [[0], [0]]
(ag/pi)e : [[0], [0]]
(ag/se)e : [[0], [0]]
(ag/sh)e : [[0], [0]]
(ag/su)e : [[0], [0]]
(ag/te)e : [[0], [0]]
(ag/th)e : [[0], [0]]
(ag/ti)e : [[0], [0]]
(ag/to)e : [[0], [0]]
(ag/us)e : [[0], [0]]
(ar/be)e : [[0], [0]]
(ar/by)e : [[0], [0]]
(ar/de)e : [[0], [0]]
(ar/di)e : [[0], [0]]
(ar/do)e : [[0], [0]]
(ar/du)e : [[0], [0]]
(ar/ev)e : [[0], [0]]
(ar/ey)e : [[0], [0]]
(ar/fe)e : [[0], [0]]
(ar/ic)e : [[0], [0]]
(ar/jo)e : [[0], [0]]
(ar/le)e : [[0], [0]]
(ar/li)e : [[0], [0]]
(ar/ma)e : [[0], [0]]
(ar/on)e : [[0], [0]]
(ar/pe)e : [[0], [0]]
(ar/pi)e : [[0], [0]]
(ar/se)e : [[0], [0]]
(ar/sh)e : [[0], [0]]
(ar/su)e : [[0], [0]]
(ar/te)e : [[0], [0]]
(ar/th)e : [[0], [0]]
(ar/ti)e : [[0], [0]]
(ar/to)e : [[0], [0]]
(ar/us)e : [[0], [0]]
(at/be)e : [[0], [0]]
(at/by)e : [[0], [0]]
(at/de)e : [[0], [0]]
(at/di)e : [[0], [0]]
(at/do)e : [[0], [0]]
(at/du)e : [[0], [0]]
(at/ev)e : [[0], [0]]
(at/ey)e : [[0], [0]]
(at/fe)e : [[0], [0]]
(at/ic)e : [[0], [0]]
(at/jo)e : [[0], [0]]
(at/le)e : [[0], [0]]
(at/li)e : [[0], [0]]
(at/ma)e : [[0], [0]]
(at/on)e : [[0], [0]]
(at/pe)e : [[0], [0]]
(at/pi)e : [[0], [0]]
(at/se)e : [[0], [0]]
(at/sh)e : [[0], [0]]
